districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,306,3693,8.285946385052803,1190,39247,3.0320788850103195,105.38625521624203,2765.510130668057,3.8107347374201863
Ciutat_Vella,50,566,8.8339222614841,149,3420,4.35672514619883,12.930335936414778,172.56618087357538,7.492972186646315
Eixample,58,155,37.41935483870968,397,4835,8.210961737331955,36.12641040329322,258.45016527189074,13.97809529945089
Sants_Montjuic,32,512,6.25,148,5879,2.517434937914611,11.730830538070482,431.7524845930738,2.7170267587751753
Les_Corts,8,241,3.319502074688797,40,2617,1.5284677111196026,3.4441940141810874,178.37825424236058,1.9308373819498754
Sarria_Sant_Gervasi,45,578,7.7854671280276815,150,5270,2.846299810246679,12.924307366667849,473.2286109254309,2.731091710916101
Gracia,111,357,31.092436974789916,344,2158,15.940685820203893,26.559026171755217,145.5960676792582,18.241582066806636
Horta_Guinardo,77,476,16.176470588235293,291,4447,6.543737351023162,26.33613129432778,356.30692427083744,7.391417202520896
Nou_Barris,5,356,1.4044943820224718,35,2985,1.1725293132328307,2.211465613874603,242.70164873752972,0.9111868936111753
Sant_Andreu,11,324,3.3950617283950617,53,2880,1.840277777777778,3.226154642207481,194.81164581088345,1.6560378763697334
Sant_Marti,24,355,6.760563380281689,89,5165,1.723136495643756,7.300085361943298,327.1930545965878,2.231124792958679
