districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,201,3693,5.442729488220959,663,39247,1.689301093077178,57.64919231536717,2765.510130668057,2.0845771518269944
Ciutat_Vella,12,566,2.1201413427561837,25,3420,0.7309941520467835,2.0704934857730373,172.56618087357538,1.1998257568729023
Eixample,33,155,21.29032258064516,189,4835,3.9089968976215097,17.13383590014866,258.45016527189074,6.629454418078544
Sants_Montjuic,32,512,6.25,146,5879,2.483415546861711,11.686550293699586,431.7524845930738,2.706770826047277
Les_Corts,8,241,3.319502074688797,40,2617,1.5284677111196026,3.4441940141810874,178.37825424236058,1.9308373819498754
Sarria_Sant_Gervasi,45,578,7.7854671280276815,138,5270,2.6185958254269446,11.771016066621034,473.2286109254309,2.4873847005154666
Gracia,75,357,21.008403361344538,211,2158,9.777571825764596,15.790273536758193,145.5960676792582,10.84526099396
Horta_Guinardo,63,476,13.23529411764706,211,4447,4.744771756240162,19.698689547355063,356.30692427083744,5.52857331854197
Nou_Barris,5,356,1.4044943820224718,35,2985,1.1725293132328307,2.211465613874603,242.70164873752972,0.9111868936111753
Sant_Andreu,8,324,2.4691358024691357,50,2880,1.7361111111111112,2.9383015370063363,194.81164581088345,1.508278175452991
Sant_Marti,4,355,1.1267605633802817,26,5165,0.5033881897386253,1.709227455347879,327.1930545965878,0.5223911178234724
