districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,702,3693,19.008935824532898,3363,39247,8.568807806966138,302.97416551973913,2765.510130668057,10.95545310645998
Ciutat_Vella,110,566,19.434628975265017,315,3420,9.210526315789473,25.028848475380485,172.56618087357538,14.503912845887806
Eixample,88,155,56.774193548387096,861,4835,17.8076525336091,76.23220765236492,258.45016527189074,29.49590207155344
Sants_Montjuic,55,512,10.7421875,272,5879,4.626637183194421,23.574185841041736,431.7524845930738,5.460115849306664
Les_Corts,22,241,9.12863070539419,119,2617,4.547191440580818,13.122548067636295,178.37825424236058,7.356585096862106
Sarria_Sant_Gervasi,86,578,14.878892733564014,307,5270,5.825426944971538,27.79463641378142,473.2286109254309,5.873405743458136
Gracia,202,357,56.582633053221286,826,2158,38.27618164967563,63.39287865938216,145.5960676792582,43.540240934963926
Horta_Guinardo,141,476,29.6218487394958,648,4447,14.571621317742297,55.506140910080134,356.30692427083744,15.578181935046704
Nou_Barris,51,356,14.325842696629213,212,2985,7.102177554438861,17.288084141156006,242.70164873752972,7.123183641761019
Sant_Andreu,46,324,14.19753086419753,228,2880,7.916666666666666,20.666207073572863,194.81164581088345,10.608301668800086
Sant_Marti,77,355,21.69014084507042,419,5165,8.112294288480156,40.1767766596398,327.1930545965878,12.279226620251979
