districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,88,3693,2.3828865421066885,251,39247,0.6395393278467144,18.578293968612176,2765.510130668057,0.6717854244173124
Ciutat_Vella,5,566,0.88339222614841,6,3420,0.17543859649122806,0.40555250252403485,172.56618087357538,0.23501273567684086
Eixample,12,155,7.741935483870968,43,4835,0.889348500517063,4.32414700839725,258.45016527189074,1.673106691128724
Sants_Montjuic,4,512,0.78125,14,5879,0.23813573737030105,0.7656548612271736,431.7524845930738,0.1773365269568286
Les_Corts,5,241,2.0746887966804977,15,2617,0.573175391669851,1.5913426526980303,178.37825424236058,0.8921169564401558
Sarria_Sant_Gervasi,41,578,7.093425605536333,104,5270,1.9734345351043643,7.918479946871759,473.2286109254309,1.6732885045531438
Gracia,32,357,8.96358543417367,87,2158,4.031510658016682,6.4105403127827065,145.5960676792582,4.402962535296521
Horta_Guinardo,31,476,6.512605042016808,99,4447,2.226219923543962,7.817216216171737,356.30692427083744,2.1939557397514067
Nou_Barris,5,356,1.4044943820224718,32,2985,1.0720268006700169,2.040613915704426,242.70164873752972,0.8407911220707251
Sant_Andreu,8,324,2.4691358024691357,47,2880,1.6319444444444446,2.7876788523273883,194.81164581088345,1.430961091018949
Sant_Marti,2,355,0.5633802816901409,16,5165,0.3097773475314618,0.9210848527068096,327.1930545965878,0.2815111261583654
