districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,686,3693,18.575683725968048,3775,39247,9.618569572196602,323.17526109295943,2765.510130668057,11.685918540276358
Ciutat Vella,85,566,15.01766784452297,224,3420,6.549707602339182,18.584469791157993,172.56618087357538,10.769473889425218
Eixample,113,155,72.90322580645162,1231,4835,25.46018614270941,109.5920645811188,258.45016527189074,42.403557554636286
Sants–Montjuic,84,512,16.40625,356,5879,6.055451607416227,26.899472084944303,431.7524845930738,6.230299313806387
Les Corts,63,241,26.141078838174277,336,2617,12.839128773404662,33.423408889877884,178.37825424236058,18.73737862938487
Sarria-Sant Gervasi,140,578,24.22145328719723,739,5270,14.022770398481974,55.667086926412836,473.2286109254309,11.763254723240854
Gracia,200,357,56.022408963585434,841,2158,38.97126969416126,57.76214322189541,145.5960676792582,39.67287313634246
Horta-Guinardo,39,476,8.193277310924369,131,4447,2.945806161457162,11.173505585417278,356.30692427083744,3.1359215396341913
Nou Barris,5,356,1.4044943820224718,36,2985,1.2060301507537687,2.17374645616206,242.70164873752972,0.8956455250589844
Sant Andreu,18,324,5.555555555555555,56,2880,1.9444444444444444,5.2142033664017955,194.81164581088345,2.676535760836171
Sant Marti,90,355,25.352112676056336,472,5165,9.138431752178121,47.78011258525893,327.1930545965878,14.60303387068205

