districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,303,3693,8.204711616571894,1150,39247,2.9301602670267792,102.07988153890206,2765.510130668057,3.6911772770921973
Ciutat_Vella,50,566,8.8339222614841,149,3420,4.35672514619883,12.930335936414778,172.56618087357538,7.492972186646315
Eixample,58,155,37.41935483870968,382,4835,7.900723888314374,34.89068740931577,258.45016527189074,13.499967149415673
Sants_Montjuic,32,512,6.25,148,5879,2.517434937914611,11.730830538070482,431.7524845930738,2.7170267587751753
Les_Corts,8,241,3.319502074688797,40,2617,1.5284677111196026,3.4441940141810874,178.37825424236058,1.9308373819498754
Sarria_Sant_Gervasi,45,578,7.7854671280276815,150,5270,2.846299810246679,12.924307366667849,473.2286109254309,2.731091710916101
Gracia,107,357,29.971988795518207,328,2158,15.19925857275255,25.34846830669305,145.5960676792582,17.410132506143384
Horta_Guinardo,77,476,16.176470588235293,280,4447,6.296379581740499,25.408862861431203,356.30692427083744,7.131172910385911
Nou_Barris,5,356,1.4044943820224718,35,2985,1.1725293132328307,2.211465613874603,242.70164873752972,0.9111868936111753
Sant_Andreu,11,324,3.3950617283950617,53,2880,1.840277777777778,3.226154642207481,194.81164581088345,1.6560378763697334
Sant_Marti,24,355,6.760563380281689,89,5165,1.723136495643756,7.300085361943298,327.1930545965878,2.231124792958679
