districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,668,3693,18.08827511508259,3143,39247,8.008255408056666,284.75423924747656,2765.510130668057,10.296626148271935
Ciutat_Vella,110,566,19.434628975265017,315,3420,9.210526315789473,25.028848475380485,172.56618087357538,14.503912845887806
Eixample,87,155,56.12903225806451,816,4835,16.876938986556357,72.24771977294145,258.45016527189074,27.95421689784432
Sants_Montjuic,55,512,10.7421875,272,5879,4.626637183194421,23.574185841041736,431.7524845930738,5.460115849306664
Les_Corts,22,241,9.12863070539419,119,2617,4.547191440580818,13.122548067636295,178.37825424236058,7.356585096862106
Sarria_Sant_Gervasi,86,578,14.878892733564014,307,5270,5.825426944971538,27.79463641378142,473.2286109254309,5.873405743458136
Gracia,191,357,53.50140056022409,772,2158,35.77386468952734,59.38034534063814,145.5960676792582,40.78430570765857
Horta_Guinardo,133,476,27.941176470588236,594,4447,13.357319541263774,51.39701907662208,356.30692427083744,14.424928502807868
Nou_Barris,38,356,10.674157303370785,152,2985,5.092127303182579,13.016083812998307,242.70164873752972,5.362997689016353
Sant_Andreu,44,324,13.580246913580247,212,2880,7.361111111111112,19.32203075237558,194.81164581088345,9.918314006305739
Sant_Marti,74,355,20.845070422535212,410,5165,7.938044530493708,39.30509715492414,327.1930545965878,12.012815248595453
