districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,610,3693,16.517736257785,2709,39247,6.902438402935256,243.4490224928673,2765.510130668057,8.803042150999387
Ciutat_Vella,110,566,19.434628975265017,314,3420,9.181286549707602,24.948717692314446,172.56618087357538,14.457478033075471
Eixample,76,155,49.03225806451613,646,4835,13.360910031023785,56.20598268693367,258.45016527189074,21.747319305369654
Sants_Montjuic,48,512,9.375,225,5879,3.827181493451267,20.420227040957858,431.7524845930738,4.729614251138334
Les_Corts,22,241,9.12863070539419,119,2617,4.547191440580818,13.122548067636295,178.37825424236058,7.356585096862106
Sarria_Sant_Gervasi,73,578,12.629757785467127,261,5270,4.952561669829222,23.139514500498397,473.2286109254309,4.889711645973284
Gracia,173,357,48.4593837535014,663,2158,30.72289156626506,48.29718489682098,145.5960676792582,33.17203937349296
Horta_Guinardo,124,476,26.05042016806723,522,4447,11.738250505959073,45.24085216590283,356.30692427083744,12.697157726722756
Nou_Barris,38,356,10.674157303370785,151,2985,5.058626465661641,12.995482276689362,242.70164873752972,5.354509268597247
Sant_Andreu,44,324,13.580246913580247,212,2880,7.361111111111112,19.32203075237558,194.81164581088345,9.918314006305739
Sant_Marti,72,355,20.281690140845072,376,5165,7.2797676669893505,36.32572494807934,327.1930545965878,11.10222984191003
