districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,339,3693,9.179528838342812,1392,39247,3.5467679058271973,126.16651319992786,2765.510130668057,4.562142506758785
Ciutat_Vella,61,566,10.777385159010601,181,3420,5.292397660818714,16.846082094749907,172.56618087357538,9.762099392517474
Eixample,61,155,39.35483870967742,424,4835,8.769389865563598,38.58539029824112,258.45016527189074,14.929528196528377
Sants_Montjuic,33,512,6.4453125,149,5879,2.5344446334410615,11.734861213217613,431.7524845930738,2.7179603203158647
Les_Corts,8,241,3.319502074688797,40,2617,1.5284677111196026,3.4441940141810874,178.37825424236058,1.9308373819498754
Sarria_Sant_Gervasi,45,578,7.7854671280276815,152,5270,2.8842504743833017,13.135855236524927,473.2286109254309,2.7757948131743055
Gracia,111,357,31.092436974789916,344,2158,15.940685820203893,26.559026171755217,145.5960676792582,18.241582066806636
Horta_Guinardo,88,476,18.487394957983195,367,4447,8.25275466606701,32.024406610298094,356.30692427083744,8.987870969904467
Nou_Barris,12,356,3.3707865168539324,66,2985,2.21105527638191,4.504447725153197,242.70164873752972,1.855960908623469
Sant_Andreu,17,324,5.246913580246913,80,2880,2.7777777777777777,6.055217347046445,194.81164581088345,3.108241974878979
Sant_Marti,30,355,8.450704225352112,178,5165,3.446272991287512,15.758200157508954,327.1930545965878,4.816178074726557
