districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,67,3693,1.8142431627403195,154,39247,0.39238667923662957,11.305776829451915,2765.510130668057,0.40881343026289363
Ciutat_Vella,3,566,0.5300353356890459,4,3420,0.11695906432748539,0.18376965429228492,172.56618087357538,0.10649227639042286
Eixample,8,155,5.161290322580645,31,4835,0.6411582213029989,3.2803308337642916,258.45016527189074,1.2692314707221675
Sants_Montjuic,1,512,0.1953125,1,5879,0.017009695526450076,0.01662464090384287,431.7524845930738,0.0038505026599931613
Les_Corts,5,241,2.0746887966804977,15,2617,0.573175391669851,1.5913426526980303,178.37825424236058,0.8921169564401558
Sarria_Sant_Gervasi,41,578,7.093425605536333,104,5270,1.9734345351043643,7.918479946871759,473.2286109254309,1.6732885045531438
Gracia,30,357,8.403361344537815,74,2158,3.429101019462465,5.244392568662017,145.5960676792582,3.6020152551202043
Horta_Guinardo,14,476,2.941176470588235,27,4447,0.6071508882392624,2.4423719940222837,356.30692427083744,0.6854685743254818
Nou_Barris,1,356,0.2808988764044944,10,2985,0.33500837520938026,0.4855787758961036,242.70164873752972,0.2000723021132971
Sant_Andreu,2,324,0.6172839506172839,2,2880,0.06944444444444445,0.04108408311502025,194.81164581088345,0.021089130962377522
Sant_Marti,2,355,0.5633802816901409,2,5165,0.038722168441432725,0.117743531370867,327.1930545965878,0.03598595071525547
