districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,457,3693,12.374763065258596,1926,39247,4.907381455907458,183.48298654099034,2765.510130668057,6.634688642296416
Ciutat_Vella,61,566,10.777385159010601,184,3420,5.380116959064328,17.114159181663226,172.56618087357538,9.917446799266722
Eixample,64,155,41.29032258064516,499,4835,10.320579110651499,44.07604589165624,258.45016527189074,17.053982474837284
Sants_Montjuic,48,512,9.375,218,5879,3.708113624766117,19.811837621613318,431.7524845930738,4.588702631389823
Les_Corts,22,241,9.12863070539419,119,2617,4.547191440580818,13.122548067636295,178.37825424236058,7.356585096862106
Sarria_Sant_Gervasi,73,578,12.629757785467127,256,5270,4.857685009487666,22.76633356675787,473.2286109254309,4.810853156624817
Gracia,118,357,33.0532212885154,392,2158,18.164967562557923,29.151583458748522,145.5960676792582,20.02223269035548
Horta_Guinardo,100,476,21.008403361344538,412,4447,9.26467281313245,36.46932774907311,356.30692427083744,10.235368797197973
Nou_Barris,38,356,10.674157303370785,149,2985,4.991624790619766,12.97012750087186,242.70164873752972,5.3440623779603715
Sant_Andreu,39,324,12.037037037037036,168,2880,5.833333333333333,16.35134266810609,194.81164581088345,8.393411287115462
Sant_Marti,50,355,14.084507042253522,258,5165,4.995159728944821,26.20128283865293,327.1930545965878,8.007897010820649
