districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,138,3693,3.736799350121852,406,39247,1.0344739725329324,33.234751573714064,2765.510130668057,1.2017584461238489
Ciutat_Vella,40,566,7.06713780918728,112,3420,3.274853801169591,10.123102108769485,172.56618087357538,5.86621437498569
Eixample,43,155,27.741935483870968,174,4835,3.59875904860393,13.627782304044285,258.45016527189074,5.2728858926082705
Sants_Montjuic,4,512,0.78125,35,5879,0.5953393434257527,1.4307420864298448,431.7524845930738,0.3313801628213715
Les_Corts,2,241,0.8298755186721992,3,2617,0.11463507833397019,0.050129099062240584,178.37825424236058,0.02810269630407456
Sarria_Sant_Gervasi,6,578,1.0380622837370241,23,5270,0.43643263757115747,1.3320158943078546,473.2286109254309,0.2814740832560835
Gracia,67,357,18.76750700280112,175,2158,8.109360518999074,12.288589848534565,145.5960676792582,8.440193505504416
Horta_Guinardo,4,476,0.8403361344537815,34,4447,0.764560377782775,2.4311399594266185,356.30692427083744,0.6823162262147482
Nou_Barris,5,356,1.4044943820224718,31,2985,1.0385259631490789,1.85020444687399,242.70164873752972,0.7623369913217598
Sant_Andreu,3,324,0.9259259259259258,5,2880,0.1736111111111111,0.2797990298035982,194.81164581088345,0.1436254124536362
Sant_Marti,16,355,4.507042253521127,44,5165,0.85188770571152,4.336339197922007,327.1930545965878,1.3253151731073542
