districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,732,3695,19.810554803788904,3637,28583,12.724346639610959,309.5080415316454,1979.0021367957695,15.639601179651796
Ciutat_Vella,85,566,15.01766784452297,193,2374,8.129738837405224,15.337134725200508,121.06695157036005,12.668308342006185
Eixample,115,156,73.71794871794873,1157,4010,28.85286783042394,100.53585385013365,224.64177560734953,44.75385469969747
Sants_Montjuic,87,512,16.9921875,321,4154,7.727491574386133,23.69055463620716,300.1012632172371,7.894186909522623
Les_Corts,64,241,26.556016597510375,288,1814,15.87651598676957,25.885202615505765,124.02458958115528,20.871024611266968
Sarria_Sant_Gervasi,143,578,24.74048442906574,664,3548,18.714768883878243,48.19492793619108,297.3283400630804,16.20932869230231
Gracia,209,357,58.543417366946784,827,1671,49.49132256134052,57.52083293576267,112.35069972633644,51.19757427045116
Horta_Guinardo,53,476,11.134453781512606,184,3010,6.112956810631229,15.99338517247673,238.89499886961826,6.694734192072996
Nou_Barris,20,356,5.617977528089887,84,2164,3.8817005545286505,13.554955072821334,169.63296802504587,7.990755117142076
Sant_Andreu,27,325,8.307692307692308,87,2232,3.8978494623655915,10.420700494262176,150.1099557177492,6.9420448793257625
Sant_Marti,104,355,29.295774647887324,491,3932,12.487283825025433,48.28991507907268,257.00163872662773,18.789730415080577
