districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,794,3693,21.5001353912808,4420,39247,11.262007287181186,396.2323531255271,2765.510130668057,14.32764063062066
Ciutat_Vella,109,566,19.257950530035338,336,3420,9.824561403508772,33.233894545378625,172.56618087357538,19.258637107885168
Eixample,115,155,74.19354838709677,1292,4835,26.72182006204757,114.20147559009065,258.45016527189074,44.187039102857675
Sants_Montjuic,86,512,16.796875,358,5879,6.089470998469127,27.11102976190978,431.7524845930738,6.279299072815271
Les_Corts,63,241,26.141078838174277,336,2617,12.839128773404662,33.423408889877884,178.37825424236058,18.73737862938487
Sarria_Sant_Gervasi,143,578,24.74048442906574,751,5270,14.25047438330171,56.548086009057684,473.2286109254309,11.949422478593176
Gracia,219,357,61.34453781512605,977,2158,45.273401297497685,68.47155724347486,145.5960676792582,47.028438566290625
Horta_Guinardo,63,476,13.23529411764706,262,4447,5.891612322914324,21.84569853228194,356.30692427083744,6.131146223719329
Nou_Barris,34,356,9.550561797752808,166,2985,5.561139028475711,23.68043910350524,242.70164873752972,9.757016166426832
Sant_Andreu,37,324,11.419753086419753,167,2880,5.798611111111112,18.583866476968932,194.81164581088345,9.539402225988852
Sant_Marti,113,355,31.83098591549296,576,5165,11.151984511132623,56.790028740480196,327.1930545965878,17.356734179611294
