((1840720982, 269381078, 0), 'Plaça de Francesc Macià', 9.06054858442496, datetime.datetime(2025, 9, 22, 16, 48, 34))
((1840720982, 269381078, 0), 'Plaça de Francesc Macià', 9.06054858442496, datetime.datetime(2025, 9, 22, 16, 48, 37))
((1840720982, 269381078, 0), 'Plaça de Francesc Macià', 9.06054858442496, datetime.datetime(2025, 9, 22, 16, 48, 40))
((1840720982, 269381078, 0), 'Plaça de Francesc Macià', 9.06054858442496, datetime.datetime(2025, 9, 22, 16, 48, 43))
((1840720982, 269381078, 0), 'Plaça de Francesc Macià', 9.06054858442496, datetime.datetime(2025, 9, 22, 16, 48, 46))
((1840720982, 269381078, 0), 'Plaça de Francesc Macià', 9.06054858442496, datetime.datetime(2025, 9, 22, 16, 48, 49))
((1840720982, 269381078, 0), 'Plaça de Francesc Macià', 9.06054858442496, datetime.datetime(2025, 9, 22, 16, 48, 52))
((1840720982, 269381078, 0), 'Plaça de Francesc Macià', 9.06054858442496, datetime.datetime(2025, 9, 22, 16, 48, 55))
((1840720982, 269381078, 0), 'Plaça de Francesc Macià', 9.06054858442496, datetime.datetime(2025, 9, 22, 16, 48, 58))
((1840720982, 269381078, 0), 'Plaça de Francesc Macià', 9.06054858442496, datetime.datetime(2025, 9, 22, 16, 49, 1))
((1840720982, 269381078, 0), 'Plaça de Francesc Macià', 9.06054858442496, datetime.datetime(2025, 9, 22, 16, 49, 4))
((1840720982, 269381078, 0), 'Plaça de Francesc Macià', 9.06054858442496, datetime.datetime(2025, 9, 22, 16, 49, 13))
((1840720982, 269381078, 0), 'Plaça de Francesc Macià', 9.06054858442496, datetime.datetime(2025, 9, 22, 16, 49, 46))
((1840720982, 269381078, 0), 'Plaça de Francesc Macià', 9.06054858442496, datetime.datetime(2025, 9, 22, 16, 49, 50))
((1840720982, 269381078, 0), 'Plaça de Francesc Macià', 9.06054858442496, datetime.datetime(2025, 9, 22, 16, 49, 54))
((1840720982, 269381078, 0), 'Plaça de Francesc Macià', 9.06054858442496, datetime.datetime(2025, 9, 22, 16, 49, 58))
((1840720982, 269381078, 0), 'Plaça de Francesc Macià', 9.06054858442496, datetime.datetime(2025, 9, 22, 16, 50, 2))
((1840720982, 269381078, 0), 'Plaça de Francesc Macià', 9.06054858442496, datetime.datetime(2025, 9, 22, 16, 50, 5))
((1840720982, 269381078, 0), 'Plaça de Francesc Macià', 9.06054858442496, datetime.datetime(2025, 9, 22, 16, 50, 8))
