districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,813,3693,22.014622258326565,4517,39247,11.50915993579127,403.9158793216684,2765.510130668057,14.605474586495024
Ciutat_Vella,109,566,19.257950530035338,336,3420,9.824561403508772,33.233894545378625,172.56618087357538,19.258637107885168
Eixample,117,155,75.48387096774194,1301,4835,26.907962771458116,115.01921434087149,258.45016527189074,44.50344004224983
Sants_Montjuic,86,512,16.796875,358,5879,6.089470998469127,27.11102976190978,431.7524845930738,6.279299072815271
Les_Corts,79,241,32.780082987551864,383,2617,14.635078333970194,37.08098529797256,178.37825424236058,20.78783955783704
Sarria_Sant_Gervasi,144,578,24.91349480968858,771,5270,14.629981024667932,58.01510564318326,473.2286109254309,12.259424790426502
Gracia,219,357,61.34453781512605,983,2158,45.55143651529194,68.78675049971201,145.5960676792582,47.24492329782301
Horta_Guinardo,63,476,13.23529411764706,263,4447,5.914099392849112,21.974632509531816,356.30692427083744,6.167332435231702
Nou_Barris,34,356,9.550561797752808,166,2985,5.561139028475711,23.68043910350524,242.70164873752972,9.757016166426832
Sant_Andreu,37,324,11.419753086419753,167,2880,5.798611111111112,18.583866476968932,194.81164581088345,9.539402225988852
Sant_Marti,117,355,32.95774647887324,588,5165,11.38431752178122,57.659683232401086,327.1930545965878,17.622526646689522
