districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,257,3693,6.959111833197943,891,39247,2.270237215583357,72.59768211460661,2765.510130668057,2.625109968303366
Ciutat_Vella,75,566,13.250883392226148,191,3420,5.5847953216374275,15.493509049679627,172.56618087357538,8.978299786926621
Eixample,56,155,36.12903225806451,312,4835,6.452947259565667,26.280042616914077,258.45016527189074,10.168321072368963
Sants_Montjuic,6,512,1.171875,49,5879,0.8334750807960537,2.575973134052138,431.7524845930738,0.5966319189755189
Les_Corts,7,241,2.904564315352697,33,2617,1.2609858616736722,4.282505817806308,178.37825424236058,2.4008003867936245
Sarria_Sant_Gervasi,37,578,6.401384083044983,140,5270,2.6565464895635675,10.754954313691938,473.2286109254309,2.2726762637322135
Gracia,108,357,30.252100840336134,336,2158,15.569972196478222,22.829169765948688,145.5960676792582,15.679798314498683
Horta_Guinardo,8,476,1.680672268907563,42,4447,0.9444569372610749,3.0176582369958336,356.30692427083744,0.8469266330345124
Nou_Barris,5,356,1.4044943820224718,33,2985,1.105527638190955,1.9779444905920527,242.70164873752972,0.8149695318844354
Sant_Andreu,4,324,1.2345679012345678,9,2880,0.3125,0.46941052203461986,194.81164581088345,0.24095608867773116
Sant_Marti,26,355,7.323943661971831,88,5165,1.70377541142304,8.605874116211396,327.1930545965878,2.630212956941276
