districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,415,3693,11.23747630652586,1698,39247,4.326445333401279,138.87437822697427,2765.510130668057,5.021655017167728
Ciutat_Vella,77,566,13.604240282685511,200,3420,5.847953216374268,16.394130350646176,172.56618087357538,9.500198861477248
Eixample,77,155,49.67741935483871,458,4835,9.472595656670114,38.58231540829858,258.45016527189074,14.92833845461457
Sants_Montjuic,34,512,6.640625,200,5879,3.4019391052900154,14.825675745725563,431.7524845930738,3.4338368103888843
Les_Corts,43,241,17.842323651452283,161,2617,6.1520825372564,16.561447486274563,178.37825424236058,9.284454294396618
Sarria_Sant_Gervasi,110,578,19.031141868512112,523,5270,9.924098671726755,40.653664817348634,473.2286109254309,8.590703072210196
Gracia,139,357,38.93557422969188,488,2158,22.613531047265987,32.27322193198692,145.5960676792582,22.166273063832616
Horta_Guinardo,8,476,1.680672268907563,45,4447,1.0119181470654375,3.5760589412444084,356.30692427083744,1.003645648639194
Nou_Barris,5,356,1.4044943820224718,33,2985,1.105527638190955,1.9779444905920527,242.70164873752972,0.8149695318844354
Sant_Andreu,4,324,1.2345679012345678,9,2880,0.3125,0.46941052203461986,194.81164581088345,0.24095608867773116
Sant_Marti,26,355,7.323943661971831,88,5165,1.70377541142304,8.605874116211396,327.1930545965878,2.630212956941276
